"","year","argen","germany","china","japan","france","usa","uk","nld","finland","netherlands"
"1",1996,0.417,2.137,0.563,2.692,2.211,2.442,1.58754591491525,1.86069532302531,2.45311137889477,1.86069532302531
"2",1997,0.42,2.179,0.639,2.77,2.135,2.471,1.54563583501097,1.8654224922663,2.62321101112536,1.8654224922663
"3",1998,0.411,2.212,0.647,2.874,2.084,2.497,1.56211245515918,1.76434792674313,2.78655296747022,1.76434792674313
"4",1999,0.453,2.334,0.75,2.893,2.097,2.542,1.64432016654331,1.84312912510426,3.0560264226342,1.84312912510426
"5",2000,0.439,2.392,0.893,2.906,2.084,2.621,1.62680155096127,1.805557725399,3.24568764121796,1.805557725399
"6",2001,0.425,2.386,0.94,2.972,2.129,2.638,1.62331119619553,1.81562253511672,3.19794663680359,1.81562253511672
"7",2002,0.389,2.415,1.058,3.014,2.166,2.55,1.62963754002519,1.76885385469392,3.25739929758782,1.76885385469392
"8",2003,0.41,2.457,1.12,3.043,2.111,2.553,1.59373881172623,1.80551087392016,3.30213830004816,1.80551087392016
"9",2004,0.404,2.421,1.215,3.03,2.086,2.49,1.54554912597675,1.80727145717345,3.31493961641122,1.80727145717345
"10",2005,0.421,2.423,1.308,3.181,2.044,2.506,1.56386460913483,1.79102617442161,3.32976451909214,1.79102617442161
"11",2006,0.452,2.456,1.369,3.278,2.045,2.55,1.58552310147017,1.75669702975767,3.33761815379981,1.75669702975767
"12",2007,0.46,2.446,1.373,3.34,2.02,2.627,1.62679984250585,1.68634229063397,3.34576941216825,1.68634229063397
"13",2008,0.471,2.597,1.445,3.337,2.058,2.767,1.63063587343963,1.64308634886563,3.54708380009396,1.64308634886563
"14",2009,0.587,2.726,1.662,3.231,2.209,2.819,1.69094418176493,1.68539689736697,3.74883162366251,1.68539689736697
"15",2010,0.564,2.714,1.71,3.137,2.175,2.74,1.66861091084939,1.72474949011262,3.72597578834848,1.72474949011262
"16",2011,0.569,2.796,1.775,3.245,2.191,2.77,1.67453588915894,1.90305612283783,3.63881159552799,1.90305612283783
"17",2012,0.639,2.868,1.906,3.209,2.229,2.689,1.60251598451245,1.93944734191616,3.41948316507585,1.93944734191616
"18",2013,0.622,2.821,1.99,3.315,2.239,2.725,1.64760115808129,1.9526750399848,3.28718685144931,1.9526750399848
"19",2014,0.592,2.873,2.021,3.401,2.278,2.739,1.66568139779714,2.00116132852092,3.16930609225498,2.00116132852092
"20",2015,0.629,2.917,2.056,3.286,2.271,2.74,1.6744522927226,2.00389900169286,2.8963664815557,2.00389900169286
"21",2016,0.533,2.939,2.107,3.147,2.248,2.744,1.6884742152415,2.03247462075228,2.74645113151321,2.03247462075228
